what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328311471
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328320033
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328322517
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328343534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328343756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647328470015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328501120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328501297
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647328551036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328555376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328579129
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1647328593426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328593437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328594865
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1647328595662
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328637641
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647328677493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1647328713844
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1647328718400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328718409
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1647328720199
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1647328720645
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328725786
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328776989
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328789073
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1647328825887
